Course Code,Course Name,L-T-P,Credits,Discipline,Program,Course category,Slot Lecture\Venue,Tutorial Slot\Venue,Lab slot\Venue,Instructor
ECL203,Introduction to Electronics,3-0-0,3,ECE,BTech,PC,F,,,Dr. Vivek Raghuwanshi
ECL204,Network Theory,3-0-0,3,ECE,BTech,PC,A,,,Dr. Bitan Banerjee
ECL301,Digital Communication,3-0-0,3,ECE,BTech,PC,E,,,Dr. Bitan Banerjee
ECL302,Electromagnetic Theory,3-0-0,3,ECE,BTech,PC,F,,,Dr. Aditya Singh
ECL303,Control System Engineering,3-0-0,3,ECE,BTech,PC,B,,,Dr. Arzad Alam Kherani
ECL304,Analog Electronics Circuits,3-0-0,3,ECE,BTech,PC,D,,,Dr. Nikhil Chander
ECP301,Communication Lab,0-0-3,1.5,ECE,BTech,PC,Q,,,Dr. Sreejith T. V
ECP304,Analog Electronics Lab,0-0-3,1.5,ECE,BTech,PC,O,,,Dr. Nikhil Chander
ECP305,Digital Electronics Lab,0-0-2,1,ECE,BTech,PC,U23,,,Dr. Manish Pandey
ECT799,Thesis (MTech),X-X-X,9 to 12,ECE,MTech,TC,DPGC_ECE,,,
ECT895,PhD Condidacy,X-X-X,0,ECE,PhD,TC,DPGC_ECE,,,
ECT899,Thesis (PhD),X-X-X,9 to 12,ECE,PhD,TC,DPGC_ECE,,,
ECL570,Matrix Theory,3-0-0,3,ECE - CSP,MTech,PC,B,,,Dr. Hathiram Nenavath
ECL571,Random Variables and Stochastic Processes,3-0-0,3,ECE - CSP,MTech,PC,D,,,Dr. Sreejith T. V
ECL572,Advanced Topics in Signal Processing,2-0-2,3,ECE - CSP,MTech,PC,C,,,Q23 Dr. Karthikeyan E
ECL573,Advanced Communication Systems,2-0-2,3,ECE - CSP,MTech,PC,I,,,T12 Dr. Arzad Alam Kherani
ECL503,Digital Integrated Circuit Design,3-0-0,3,ECE - VLSI,MTech,PC,A,,,Dr. Vivek Raghuwanshi
ECL530,Semiconductor Device Modeling,3-0-0,3,ECE - VLSI,MTech,PC,G,,,Dr. Nitanshu Chauhan
ECL551,CMOS Analog IC Design,3-0-0,3,ECE - VLSI,MTech,PC,H,,,Dr. Nitanshu Chauhan
ECP540,Microfabrication Lab,0-0-3,1.5,ECE - VLSI,MTech,PC,W,,,"Dr. Vivek Raghuwanshi, Dr. Manish Pandey"
ECP541,VLSI Design Lab,0-0-3,1.5,ECE - VLSI,MTech,PC,S,,,Dr. Manish Pandey
ECL504,Semiconductor Devices,3-0-0,3,ECE (Old),MTech,PC,I,,,Dr. Nitanshu Chauhan This course is to be offered only to EC M.tech Students Who
EE499,Thesis (BTech),X-X-X,6 to 12,EE,BTech,TC,DUGC_EE,,,
EE799,Thesis (PhD) Old,X-X-X,24 to 30,EE,PhD,TC,DPGC_EE,,,
EEL202,Analog Circuits,3-1-0,4,EE,BTech,PC,B,,,E3 Dr. Snehanjan Acharyya
EEL203,Digital Circuits,2-0-0,2,EE,BTech,PC,E12,,,Dr. Snehanjan Acharyya
EEL204,Engineering Electromagnetics,3-0-0,3,EE,BTech,PC,A,,,DUGC_EE
EEL301,Electrical Machines-II,2-0-0,2,EE,BTech,PC,F23,,,Dr. Lalit Kumar Sahu
EEL303,Power Electronics,3-0-0,3,EE,BTech,PC,D,,,Dr. Shailendra
EEP304,Sensor Lab,0-0-3,1.5,EE,BTech,PC,S,,,Dr. Avishek Adhikari
EEP305,Power System Lab,0-0-3,1.5,EE,BTech,PC,U23,,,Dr. Krishna Murari
EEQ401,Minor Project,0-0-3,1.5,EE,BTech,PC,T,,,Dr. Nitin Khanna
EET799,Thesis (MTech),X-X-X,9 to 12,EE,MTech,TC,DPGC_EE,,,
EET899,Thesis (PhD) New,X-X-X,9 to 12,EE,PhD,TC,DPGC_EE,,,
EEP501,Control Systems Lab,0-0-3,1.5,EE - CI,MTech,PC,U,,,Dr. Sandeep Kumar Soni
